job_title,location,salary,company,job_desc 
Business Analyst,Canberra ACT,$100 an hour,Ignite,"Essential skills and experience
,
,
Job Location
,
Canberra, ACT, Australia"
Business Analyst,Melbourne VIC,None,AKQA,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><div><div><p>At AKQA, we believe in the imaginative application of art and science to create beautiful ideas, products and services. With an entrepreneurial and collaborative approach, we design adaptive digital services and applications that capture the imagination, delivering impressive returns for our clients.</p>
<p>
As a Business Analyst, you will be highly motivated and even more meticulous. You’ll have a passion for delivering digital solutions that are as polished as they are innovative, capturing necessary requirements and significantly contributing to architecting a solution that fits them perfectly. You’ll work closely with clients, project management and our Technical and User Experience teams.</p><br>
<p></p>
<p>
ROLE REQUIREMENTS</p>
<ul>
<li>Manage impact analysis of changes at both solution requirement and resource levels.</li>
<li>Participate in user modelling and requirements-gathering workshops.</li>
<li>Document and control project requirements.</li>
<li>Develop and manage Scrum sprint backlog (Epics, Stories, etc.).</li>
<li>Assist in Scrum iteration planning.</li>
<li>Direct the solution to meet client expectations and requirements.</li>
<li>4+ years’ experience as a Business Analyst, preferably in web/eCommerce projects.</li>
<li>Strong experience working across the full SDLC, and Requirement and Functional Specification development, particularly within a Scrum environment.</li>
<li>Strong experience of data modelling and UML methods.</li>
<li>Strong experience of web development technologies and online user experience.</li><br>
</ul>
<div>
</div><p>QUALITIES AND CHARACTERISTICS</p>
<ul>
<li>Meticulous in your work, with high attention to detail.</li>
<li>Exceptional interpersonal skills.</li>
<li>Able to effectively present to a wide range of stakeholders.</li>
<li>Excellent documentation and time-management skills.</li>
<li>Embody a culture of continuous improvement.</li>
<li>Motivate and generate enthusiasm within the team.</li><br>
</ul>
<div>
</div><p><i>AKQA is an Equal Opportunities Employer, we believe that diversity is vital to AKQA’s ability to provide our clients with the best recommendations and are committed to fostering a varied and inclusive work environment. Your race, colour, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.</i></p></div></div></div><p></p></div>"
Data Analyst,Gladesville NSW,None,Assetlink,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p></p><div><div><p>With a firm grasp of the technology, the intention would be for the role to evolve into presenting data in charts, graphs and tables as well as designing and developing algorithms for relational databases to operate autonomously.</p>
<p><b>Analytical Skills:</b> Data analysts work with large amounts of data: facts, figures and number crunching.</p>
<p><b>Communication Skills:</b> Must communicate methodology and findings well with team members and ancillary resources.</p>
<p><b>Attention to Detail:</b> The conclusions drawn from this data analysis will drive critical business decisions and recommendations. Accuracy and attention to detail are paramount.</p>
<p><b>Math Skills:</b> Understanding of basic statistical methods.</p>
<p><b>Programming Skills:</b> This role requires an understanding of programming logic, although no experience with a specific programming language is required. Familiarity with SQL, Tableau will be an important part of the data analyst role.</p>
<p><b>Overall Knowledge/Skills/Abilities:</b></p>
<ul><li>Must be comfortable working with clients, team members, and other stakeholders in the organization</li>
<li>Have the ability to interpret their intent and application</li>
<li>Demonstrates the ability to handle a variety of responsibilities under pressure</li>
<li>Must be able to function independently</li>
<li>Demonstrates good communication skills</li>
<li>Background knowledge in building fabric and services preferable</li>
</ul></div><h4 class=""jobSectionHeader""><b>Desired Skills and Experience</b></h4>
<div><p>If you're able to adapt on the run, execution driven individual with a commitment to improving society, please submit your cover letter and resume by clicking the 'Apply' button below.</p>
<p><b><i>Assetlink's Diversity Commitment</i></b><br>
<i>Assetlink is committed to maintaining, growing and supporting our diverse and inclusive culture, by seeking and promoting diversity within each of our work sites. We welcome and encourage applications from diverse community groups and ages including Aboriginal and Torres Strait Islander, LGBTIQA, people with disabilities, women, and other diversity groups. Currently, Assetlink is representative of around 80 nationalities, speaking 59 different languages. Assetlink recognises the benefits of diversity in creating amazing customer experiences, increasing productivity and encouraging business growth.</i></p></div></div></div>"
Business Analyst,Adelaide SA,None,Fujitsu,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><p><b>Are you inspired by the power of digital? Are you prepared to be challenged and empowered? At Fujitsu we pride ourselves on having local touch, global reach, strong capabilities and most importantly empowered people. We are a supplier of choice for innovative ICT solutions for leading corporate and government organisations. We provide many opportunities for career development both locally and globally. We want you to be a part of our digital transformation journey!</b></p><p><b>
Business Analyst – Exciting Contract Engagement
</b></p><p>Fujitsu Australia has a need for an experienced Business Analyst – Contractor - to complete works for a key Federal Government customer.</p><p><b>
Scope of the engagement:
</b></p><p>The requirement is for a Senior Business Analyst to deliver solutions by performing a high level of analysis and design for current and future government initiatives within the Business Intelligence / Data Analytics Practice for projects.</p><p><b>
Skills and expertise required:</b></p><ul><li>
Minimum 5 years commercial experience working as a Business Analyst on complex, multi system, ICT system builds.</li><li>
Demonstrated ability to translate business requirements into functional technology solutions for development, testing &amp; implementation, including the ability to develop quality specifications for complex ICT systems.</li><li>
Demonstrated strong technical solution design skillset to contribute to the implementation of system solutions.</li><li>
Solid working knowledge of SDLC, development processes and agile methodologies.</li><li>
Demonstrated understanding of ICT product offerings and their interoperability with other components.</li><li>
Demonstrated ability to collaborate with stakeholders to resolve issues, solve problems and ensure effective and timely implementation of projects.</li><li>
Any knowledge / background in the Business Intelligence space will be held in high regard.</li><li>
Must be an Australian Citizen.</li></ul><p><b>
What’s in it for you?</b></p><ul><li>
Be an integral part of an innovative government project utilising the latest technologies.</li><li>
Highly skilled and engaged team.</li><li>
Varied role with opportunity to utilise other skills you might have.</li><li>
Opportunity for a long term and ongoing contract.</li><li>
Attractive rate on offer.</li></ul><p><b>
Location</b></p><p>
Adelaide</p><p><i>
All personal information received by us from you or about you will be stored, used and disclosed by us in accordance with our privacy policy. If you have any questions in relation to how we may use and store your personal information please contact us at recruitment@au.fujitsu.com.</i></p><p></p><br>
<p><i>
At Fujitsu we are committed to providing equal employment opportunities and an inclusive work environment. We encourage applications from people regardless of gender, age, ethnicity, disability, sexual orientation and religion.</i></p><p></p><br>
<p><i>
Fujitsu does not accept any unsolicited resumes from head-hunters, executive recruiters, or other staffing or recruitment agencies. Please do not submit or forward any resumes, CVs or profiles to the Fujitsu careers portal, nor to any Fujitsu personnel. Fujitsu will not pay any fees relating to unsolicited resumes.</i></p><p></p><br>
<p><b><i>
NB:</i></b><i>Applications will be reviewed prior to the closing date; which is dependent on the status of the recruitment process and is subject to change without notice.</i></p></div></div>"
Business Systems Analyst,Perth WA,"$75,000 - $92,000 a year",Transparency IT,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><p>This role is based in the South Eastern suburbs of Perth and is a fixed term contract ending Februrary 2020.</p><p>
Our client is looking for someone who has experience in all the standard Business Analyst functions yet also has a strong technical edge to them in business systems projects and systems support.</p><p>
To be successful in this role you will need to be able to demonstrate the following skills from previous experience:</p><ul><li>
Competence in needs analysis and data gathering from users and project stakeholders</li><li>
Experience in supporting, enhancing and developing key business applications and solutions - ERP's particularly</li><li>
Strong documentation skills - support, user requirements and report documents</li><li>
Excellent at conversing technical concepts to non-technical people</li></ul><p>
Genuine business and systems analysis experience in local government environments will be really advantageous for this role.</p><p><b>
Required:</b></p><ul><li><b>
Experience in supporting and developing within CRM, EDRMS and ERP type systems (at least ERPs)</b></li><li><b>
SQL query writing and systems support for SQL based databases</b></li><li><b>
Project and Change Management experience</b></li></ul><p>
The ideal Transparency candidate will possess <b>most</b>, if not all of the following:</p><ul><li>
A flawless command of both written and spoken English</li><li>
Experience in high level consultancy work, development and management of business system solutions.</li><li>
Experience supporting the Civica Authority application or Technology One ERPs</li><li>
Ability to facilitate training and workshops with stakeholders</li><li>
A great attitude that allows you to fit in with any team</li></ul><p>
If this role sounds like you, apply today. If this role doesn't sound like you, but know someone perfect for this, get in touch. Check out our jobs and blog at transparencyit.com</p><p>
If you look good for the role, I'll personally be in touch for a confidential conversation and can give you a more detailed Job Description.</p><p>
Daniel Linden @ Transparency</p></div><p></p></div>"
"Business Analyst, Digital",Melbourne VIC,None,Arup,"Job Description - Business Analyst, Digital (Contract) (MEL0000G7)
,
Business Analyst, Digital (Contract)
,(MEL0000G7)
,Primary Location Australia-Victoria-Melbourne
,Discipline Applied Digital Strategies
,Job Posting 07-Apr-19
,
A career at Arup offers you the chance to make a positive difference in the world. Independently owned and independently minded, Arup is the creative force at the heart of many of the world’s most prominent projects in the built environment. We offer a broad range of professional services that combine to make a real difference to our clients and the communities in which we work.
,
We are truly global, and our 14,000 planners, designers, engineers and consultants around the world deliver innovative projects with creativity and passion.
,
About you
,
,
About the role
,
Initial 5-6 Month contract role.
,
Digital technologies and interactive media are changing the way that complex information is communicated and understood across the built environment. At Arup, digital innovation has become a core part of everything we do. Understanding our clients to better solve their problems, and create engaging experiences for them is a fundamental skillset required right across the organisation.
,
The Advanced Digital Engineering team has a broad remit, from enterprise grade cloud platforms, to data visualisations, to automation work. Our clients are both internal and external, and the scope for opportunity seems endless.
,
As Arup has a global reputation for innovation and excellence in engineering. As a new discipline in the company we have an amazing opportunity to play a key role in Arup’s future.
,
At this stage, we a looking for a BA designer on a contract to a specific, strategic project for 6-12 months. We anticipate team growth and anticipate being able to offer a full time role to the right candidate at the end of the contract period. During this contract you will be the BA designer for a key cloud platform, working with a business analyst, stakeholders / SMEs, and a development team, with high level support from a product manager:
,
,
,
The people at Arup are driven to find a better way and to deliver better solutions for our clients.
,
Take advantage of Arup’s flexible working culture to set and drive your agenda; we are open to candidates seeking a more flexible working week, including part-time/reduced hours.
,
We offer a competitive remuneration package commensurate with qualifications and experience to the right candidate including a global profit share scheme, excellent staff benefits and long-term career development opportunities.
,
If you are interested in helping us shape a better world, please click “Apply Now” to submit your online application.
,
Please note submission due date for all applications is 31st May 2019."
Business Analyst - Digital,Melbourne VIC,None,Accenture,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p></p><div><div><p>We are seeking a Digital Business Analyst in Melbourne for contracting opportunities.
</p><p>Business Analysis role working with IT and Business counterparts to develop requirements and deliver digital projects.</p>
<p><b>Required Skills:</b></p>
<p>Strong experience in a business analysis role with experience utilizing various tools and technique in a digital environment</p>
<p>Experience working with complex data structures, analysis tools, and financial instrument reference data</p>
<p>Proven track record of successful project delivery through close collaboration with both Business and IT.</p>
<p>Experience working on agile methodology</p>
<p>Strong data analysis skills using, SQL, and/or MS Office tools</p>
<p>Familiarity with Business Model Strategy, Requirements Analysis, Basel Financial Regulations, Regulatory Industry requirements</p><p></p><br>
<p>
<br>
</p><p>#LI-DNI</p></div></div><p></p></div>"
Procurement Business Analyst - ANZ,South Melbourne VIC,None,Mondelez International,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><p><b>Mondelēz International LLC</b> is a US$35 billion snacking powerhouse, employing over 100,000 people around the world. Here in Australia you will recognise our famous brands - Cadbury, Pascall, Oreo, The Natural Confectionery Company and Philadelphia to name just a few. We're constantly changing and innovating - we have fantastic people who do amazing things for our business and their own careers, every day.
</p><p>We currently have a vacancy for <b>Procurement Business Analyst</b> to support the Business Unit Procurement Lead by coordinating, generating and analysing required metrics, reports and presentations related to the Procurement End to End Agenda. This includes productivity, service, inflation mitigation, commodity spend and price risk management, cash, new product development and compliance in Source to Pay and Quality. You are the champion on local meetings and in business partnering (i.e. coordinating / facilitating discussions around the E2E agenda). The role will also drive the governance and standardization of procurement reporting in the Business Unit and also provide analytical support to the Procurement function on business and people related metrics.
</p><p><b>Key Accountabilities include:</b>
</p><p></p><ul><li>Develop and standardization of reporting mechanisms on all procurement aspects
</li><li>Drive the AC (and other) planning cycle(s) for Procurement together with ISC Finance team
</li><li>Coordinate and publish the monthly scorecard and send out to the Leads for their validation, bridging accuracy of data and advise rectification methods
</li><li>Conduct monthly reconciliations, bridge analysis and cost evaluation exercises with ISC Finance team.
</li><li>Analyse solutions in order to attend to BU Procurement Lead queries
</li><li>Ensure accuracy of data by driving required changes
</li><li>Manage and track different data points into required analytics
</li><li>Support overall procurement Governance for the BU
</li><li>Support on change management material development
</li><li>Support in report consolidation for performance and talent management
</li><li>Provide business partnering as required (e.g. facilitate with regional procurement teams and local stakeholders regarding alternate projects to cover any productivity gap fills, etc).
</li></ul><p><b>Do you have what it takes?</b>
</p><p></p><ul><li>2 years' experience in Procurement
</li><li>Intermediate in Microsoft Excel and PowerPoint
</li><li>Excellent written and oral communications skills
</li><li>Good time management and problem-solving skills
</li><li>Some experience with data analytics and process/project management is ideal
</li><li>An understanding of the consumer goods industry is preferred
</li></ul><p><b>Benefits</b>
</p><p>By joining our Procurement team, you will you will enjoy an inclusive, diverse culture with a company who are dedicated to making a difference. To help you grow within your career Mondelez International is committed to career long learning and you will have access to a number of learning platforms and personal development tools.
</p><p>Mondelēz International respects individual differences that make us unique and promotes an environment that is welcoming, inclusive of all employees and values the diversity of our work environment. Our leaders are committed to support flexible work practices under our Flexible Work Arrangements policy.
</p><p><b>Please note: All candidates require Australian working rights</b></p></div></div>"
Business Analyst / Data Analyst,Melbourne VIC,$600 - $650 a day,Ignite,"The Role & Opportunity
,You will be working as a business analyst/data analyst within the ICT division of our major client and will be responsible to support the Data Completions processes associated with data entry into our PNI system Spatialnet.
,
,
,
Ideal candidate would have familiarity with PNI environments and are able to work through changes associated with systems and processes whilst working with multiple stakeholders.
,
Data Completions is responsible for entry of physical, logical and address data into the clients Spatial Net PNI system.
,
What's in it for you?
,
,
Interested? If you have the skills and motivation we are looking for, please Apply Now. For more information, please contact Sukanya Mukhopadhyay on 03 8319 7810 or via email Sukanya Mukhopadhyay @ igniteservices.com."
Senior Data Analyst/Scientist,Sydney NSW,None,International Institute of,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><div><div><div><div><div><div><p>The International Institute of Data &amp; Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data &amp; analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.</p>
<p>
In data science and big data analytics, the IDA creates enablers for:</p>
<ul>
<li>Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;</li>
<li>transforming excellent research and innovation outcomes to actionable data science and analytics systems, tools, services and training for industry innovation and transformation; and</li>
<li>building a flexible and engaging culture and platform to connect local, regional and global resources in data &amp; analytics research and business towards developing world-class centre of excellence and research networks.</li>
</ul><p>You shall find the IDA team very self-motivated, high standard and forward thinking focused, and highly hands-on.</p>
<p><b>
Responsibilities</b></p>
<ul>
<li>Collaborate with our clients and internal stakeholders to understand and document their business requirements, needs and objectives toward delivering project plans and business plans.</li>
<li>Comprehensive understanding of data structures, and extract required data for analysis according to business requirements.</li>
<li>Architect, develop and automate data analytics models and solutions. Develop analytics solutions, including data extraction, pre-processing, modeling, deployment, evaluation and maintenance.</li>
<li>Iteratively prototype and productise analytical models and solutions per commercial standard and for production and commercialization.</li>
<li>Make business recommendations in terms of cost-benefit, forecasting and impact analysis by effective presentations of data-driven findings to clients and stakeholders, and provide insights to clients.</li>
<li>Document and communicate all relevant work and work outcomes.</li>
</ul><ul><li>Lead and mentor junior data analysts/scientists in a closely collaborative data science project team.</li>
</ul><p><b>Qualifications</b></p>
<ul>
<li>Solid background, knowledge and capabilities in statistics, mathematics, computer science, informatics, computing, or closely relevant scientific field.</li>
<li>At least three years of data-driven analytics hands-on experience with deep know-how of predictive modeling, machine learning and data mining, and relevant modeling approaches and algorithms.</li>
<li>Demonstrated capabilities to prototype and productise statistical analysis and modeling algorithms and apply these algorithms for data-driven solutions to problems in new domains.</li>
<li>Demonstrated advanced knowledge of SQL (data extraction and manipulation), expertise in SAS programming, and software development skills in one to several scripting languages (Python/R).</li>
<li>Demonstrated capabilities to communicate and engage with and manage relationships across a range of stakeholder groups and technical project teams.</li>
<li>Demonstrated capabilities to work effectively as a member and leader of a data science project team to provide the high level specifications, management and communications.</li>
<li>Demonstrated experience for independent problem-solving and self-motivated innovation, education and services.</li>
</ul><p><b>Contact</b>: Jinjiu.Li@idawise.com</p></div></div></div></div></div></div></div></div>"
Business Analyst,Canberra ACT,$100 an hour,Ignite,"Essential skills and experience
,
,
Job Location
,
Canberra, ACT, Australia"
Business Analyst - AML/CTF,Newstead QLD,None,Bank of Queensland,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p></p><div><ul><li><b>Join ASX 100 finance leader!</b></li>
<li><b>Brisbane based role – Gasworks Newstead Office</b></li>
<li><b>Suits an experienced Business Analyst with exposure to complex project environments specifically focusing on AML/CTF</b></li><br>
</ul>
<p>
</p><p><b>About Us:</b></p>
<p>
Join one of Australia's top 100 listed companies where we are passionate about providing opportunities for you to develop your career as we continuously adapt and deliver in a transformational and collaborative environment with a strong focus on community.</p>
<p>
We support a flexible workplace and we are committed to an inclusive and diverse culture where differences are embraced!</p><br>
<p></p>
<p><b>
About the role:</b></p>
<p>
A Business Analyst role exists within the Transformation Office of BOQ.</p>
<p>
The purpose of a Business Analyst is to assist the business stakeholders identify the problem and the expected business and customer outcomes that will determine their actual needs. This is achieved by understanding where the business is today (the current state), where they wish to go (the future state) before determining the gaps that identify the end to end business requirements. Identifying options to the stated problem and outcomes enables the business to select a solution that best fits.</p>
<p>
All Analysts are expected to follow BOQ internal guidelines for analysing, eliciting and documenting requirements.</p><br>
<p></p>
<p><b>
Essential Skills and Experience:
</b></p><ul><li>Five years proven experience within a Business Analyst position, preferably within the financial services industry</li>
<li>Knowledge and previous project experience of AML/CTF compliance requirements would be beneficial, including KYC data collection and verification, monitoring and screening.</li>
<li>Strong capabilities across planning, process mapping, requirements gathering and delivery within complex environments</li>
<li>Willing to work autonomously and able to show resilience and flexibility in a dynamic environment</li>
<li>Experience working across multiple projects will be highly beneficial</li>
<li>The ability to produce fit for purpose business requirements and solution options</li>
<li>Review all solution documents ensuring they align with business requirements and benefits</li>
<li>Strong stakeholder management skills in order to meet project deadlines and expectations</li>
<li>Contribute to the continuous capability uplift of the Business Analyst community</li><br>
</ul><p></p>
<p>
</p><p><b>About our Benefits:</b></p>
<ul>
<li>Discounted financial products</li>
<li>Purchase annual leave</li>
<li>BUPA Corporate Plan</li>
<li>Salary sacrificing options</li>
<li>Mentoring and leadership programs</li>
<li>Employee Assistance Program (EAP) - MyCoach for Individuals and People Leaders</li>
<li>Paid parental leave</li>
<li>Paid volunteer days</li>
<li>Gym discounts and much more!</li><br>
</ul>
<p>
</p><p><b>How to apply:</b></p>
<p>
To apply for this role please follow the links, alternatively you can view the role on our Careers Page.</p>
<p>
The Bank of Queensland is committed to diversity and an inclusive workforce. Aboriginal and Torres Strait Islander People are encouraged to apply.</p>
<p>
BOQ is a member of the Australian Bankers’ Association and has subscribed to the Conduct Background Check Protocol (Protocol). Under the Protocol, from 1 October 2017, BOQ will contact any previous employer/s who are also part of this association to provide a Conduct Check of any potential employee.</p>
<p>
If you are successful for a role with the Bank of Queensland, it is a condition of employment that background screening is completed to ensure that the Bank complies with its obligations under the Anti-Money Laundering and Counter Terrorism Financing Act. These checks may include, but are not limited to: identity, verification, reference checks, criminal background checks, immigration checks, verification of academic qualifications, bankruptcy checks</p><br>
Required Skills<br>
<br>
Required Experience</div></div>"
"Senior Analyst, Business Analysis",Melbourne VIC,None,NAB - National Australia Bank,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div></div><div><div><div><b>Work type:</b> Permanent Full time<br>
<b>Location:</b> Aust - VIC Metro<br>
</div><p><i>We’re changing at NAB. Our goal is to build a world-class data, risk and treasury platform to enable us to deliver an unprecedented pace of change. Our engineering teams are at the centre of creating a new generation of risk and treasury engines that will move NAB to the next level in this domain.</i></p>
<p><i>
We’re looking for Technical business analysts with broad understanding of Technology platforms involving data and complex integrated backend systems. You’ll have the ability to think broadly and draw on wide personal experience in both the applicable business and technology environments. You will be delivery focused and be able to work with senior stakeholders, Software Engineers, Product and operational teams.</i></p>
<p><i>
In addition to your strong analytical capability you will be a team player, independent thinker and have a collaborative attitude towards your work and colleagues.</i></p>
<p><i>
We are part of nabs’ Melbourne based technology team with an inclusive and friendly workplace that includes engineers from diverse backgrounds. We value a culture of learning, agility, openness, honesty and continuous improvement</i>.</p>
<p><b>
Core Accountabilities of the role include but are not limited:</b></p>
<ul>
<li>Ability to write concise user stories for software engineers based on a high-level understanding of Product roadmaps.</li>
<li>Ability to remove impediments by assisting quality team with writing test cases.</li>
<li>Facilitate Agile rituals, story walkthroughs, product showcases and stakeholder workshops.</li>
<li>Ability to develop detailed designs based on high-level solution architecture.</li>
</ul><p><b>Critical:</b></p>
<ul>
<li>Exposure to Data ingestion technologies and capturing meta-data and data lineage.</li>
<li>Familiarity with AWS services.</li>
<li>Strong understanding of SDLC to work in collaboration with Development teams</li>
<li>Exposure to DevOps and Agile.</li>
<li>Experience with modern software practices.</li>
<li>Tertiary qualification in a relevant technical subject.</li>
<li>Excellent communication and interpersonal skills, both oral and written.</li>
<li>Ability to assess and implement new technologies and processes.</li>
<li>An open mindset and proven ability to innovate and influence.</li>
</ul> <p><b>Desirable:</b></p>
<ul>
<li>Experience using productivity and collaboration tools such as JIRA and confluence in a software delivery environment</li>
</ul><p><b>We offer:</b></p>
<ul>
<li>Fast paced environment, with leading edge technology and innovation</li>
<li>Work in a collaborative environment with highly talented and motivated colleagues that are passionate about knowledge sharing</li>
<li>Salary confirming to market standards</li>
<li>Flexible working policy</li>
</ul> <p><b>Think you have what it takes? We would love to hear from you!</b></p>
<p><b>
To be eligible to apply, you must have Australian or New Zealand citizenship or permanent residency status.</b></p>
<p>
Please note candidate screening and interviews may be conducted prior to the closing date of the advert.</p>
<p>
We embrace diversity of thought, style and working arrangements to ensure our workforce is representative of the community that we serve.</p>
<p><b>
At NAB we support workplace flexibility. Have a chat to us about how this can work for you…</b></p></div></div><p></p></div>"
Senior Data Analyst,Melbourne City Centre VIC,None,Department of Health and Human Services," 1 x Fixed-term, Full-time until 30 June 2020. Office Location(s): 50 Lonsdale Street, Melbourne VIC 3000 Position Summary:
,The Senior Data Analyst contributes to the development of business intelligence to support the implementation of the National Disability Insurance Scheme (NDIS). The Senior Data Analyst collaborates with internal and external stakeholders to help ensure that fit for purpose data is transmitted to the National Disability Insurance Agency to support the transition of state funded clients to the NDIS.
,Are you
,Confident in your ability to help develop and implement data analysis and data analytics processes to ensure that business outcomes are met? Willing to work collaboratively in a high-pressure environment with hard deadlines? Business outcomes focused with attention to detail?
,-----------------------------------------------------------------------------------------------------
,
,
Applicants are encouraged to apply online, submitting a cover letter and a current resume. Please note: For this role, you are not required to address each of the key selection criteria in a separate written document. Applicants are strongly encouraged to review our Careers Page. This page provides information on the department's recruitment and safety screening processes. Click 'Apply Now' below to submit your interest in this role. For further information please visit the Department of Health and Human Services website: https://www.dhhs.vic.gov.au/
,Applicants must be an Australian Citizen, Permanent Resident or hold a valid work permit or visa. Work eligibility will be checked as part of the recruitment process."
"Business Analyst, End User Computing",Australia,None,IAG,"#CLOSER #BRAVER #FASTER
,
Analyst II, End-User Computing | Employee Experience | Group Technology
,
,
You'll make a difference by leading the analysis activities for the End User Computing (EUC) team, eliciting business needs and communicating these to technology teams as required.
,As a Business Analyst, you will support the team by ensuring business information and key processes are optimised by acting as the key liaison between business subject matter experts and technology service owners, build, delivery and support teams.
,While your technical awareness in the End User Computing space is important, your strong business analysis skills, knowledge in process improve and awareness in agile practices, will set you apart.
,#IAGGroupTech #businessanalysis #employeeexperience #processimprovement #endusercomputing
,
Key Responsibilities
,
,
Your Experience
,
,
About us
,At IAG, we believe that everyone has a unique point of view to share, shaped by their life experiences, cultures and passions. We celebrate and commit to:
,#Proud to be me – we value difference, not sameness
,#Together – harnessing our collective wisdom enables us to be our best for our customers and each other
,#No boxes – it's not about labels, boxes or categories. It's about building a diverse and inclusive mindset into everything we do
,
Let's talk
,In addition to a diverse and inclusive culture, some of our benefits include 13% superannuation (3% Kiwisaver), 50% insurance discounts, flexible work and leave options, generous parental leave and return to work program, recognition and reward program, and various corporate partner discounts.
,We encourage Aboriginal and Torres Strait Islanders to apply for this position."
Business Analyst,McKinnon VIC,None,Marshall McAdam,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><p><b>You:</b></p><p>
Engaging, confident and passionate about Agile Business Analysis and bridging the gap between technology and the business! You have an analytical mindset and experience working with technical teams to deliver customer facing web solutions.</p><p><b>
The role:</b></p><p>
Working within an agile squad to deliver a new web initiative for the organisation, working closely with the technical teams and the business stakeholders to cement the user stories, user journeys and deliver new exciting customer facing technical solutions.</p><p><b>
The Organisation:</b></p><p>
A well-known household name in the retail space this company are innovating and expanding their organisation.</p><p><b>
Skills and experience needed:</b></p><ul><li>
Experience working as an Agile BA on customer facing websites (ideally retail)</li><li>
Exposure to SCRUM and Kanban</li><li>
Exposure to JIRA</li><li>
Strong written and verbal communication skills; strong ability to articulate complex situations and information clearly</li><li>
Experience of working within Agile and waterfall projects</li><li>
Attention to detail; thorough</li><li>
Disciplined and rigorous in following through on actions</li><li>
Able to work collaboratively and effectively at all levels in an organisation.</li><li>
Solid Business Analyst capabilities, experienced at being the link between IT and business stakeholders</li></ul><p>
If you are interested please click the Apply button or call Richard Green on 03 8399 9312 for a conversation about the role.</p></div></div>"
Clinical Business Analyst,Sydney Western Suburbs NSW,"$110,961 - $126,496 a year",Sydney Childrens Hospital Network,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div></div><div><div><p><b>Sydney Children's Hospitals Network is the largest paediatric health care entity in Australia. We care for thousands of children each year in our hospitals and in their homes — with one purpose in mind — to help young people live their healthiest lives.</b></p></div><div></div><br>
<div><b>
Employment Type</b>: Temporary Full Time up to 30/06/2020 (Temporary Leave backfill)<br>
<b>Position Classification</b>: Health Mgr Lvl 3<br>
<b>Remuneration</b>: 110961 - 126496 per annum<br>
<b>Hours Per Week</b>: 38</div><div><b>
Location: </b>Westmead<br>
<b>Requisition ID</b>: REQ107231<br>
<br>
<b>What you'll be doing</b><br>
<div>The Clinical Business Analyst position plays a key role within the Program Management Office of the Clinical Integration Directorate. The position is responsible for the successful coordination and execution of requirements gathering and solution development activities within an allocated workstream, team or project sprint.
<br>
<br>
Through working closely with the Project Manager and stakeholders, the Clinical Business Analyst will develop detailed business requirements and ensure that they are delivered, guaranteeing high quality systems for The Sydney Children’s Hospitals Network in accordance with SCHN and Program Management Office business strategies.
<br>
<br>
The Clinical Business Analyst elicits business requirements and reviews and documents work processes to ensure that our electronic systems evolve to support clinical needs. The role will be focussed on implementation of electronic medical records/electronic medication management so will require an understanding of clinical and administration processes.<br>
</div></div><div><div><div><div>SCHN is an Equal Opportunity Employer and encourage all suitably qualified applicants to apply, including Indigenous Australians, and people from culturally diverse backgrounds.</div><br>
<div>
</div><div>Aboriginal and Torres Strait Islander people are encouraged to apply. We recognise the value of Aboriginal staff providing health care to Aboriginal children and families that access the services we provide at the Sydney Children’s Hospitals Network. Aboriginal job applicants are encouraged to visit the NSW Health Aboriginal Recruitment tool, Stepping Up to assist in preparing your application.</div></div></div><br>
<div><div>
Need more information?<br>
</div><div>
Click here for the Position Description<br>
Find out more about applying for this position</div><div>
Click here to learn more about our network</div><div><br>
For role related queries or questions contact Adam Bennett on adam.bennett@health.nsw.gov.au<br>
<br>
<b>Applications Close: 29/05/2019</b></div></div></div></div></div>"
